 time            time            v(net1)        
 4.00000000e-13  4.00000000e-13  5.13024882e-02 
 8.00000000e-13  8.00000000e-13  5.75927736e-02 
 1.60000000e-12  1.60000000e-12  6.84716731e-02 
 3.20000000e-12  3.20000000e-12  8.42325767e-02 
 6.40000000e-12  6.40000000e-12  1.00544595e-01 
 1.28000000e-11  1.28000000e-11  1.04406283e-01 
 2.56000000e-11  2.56000000e-11  5.40732927e-02 
 4.00000000e-11  4.00000000e-11  1.69497207e-02 
 4.25600000e-11  4.25600000e-11  1.53020674e-02 
 4.76800000e-11  4.76800000e-11  1.41528408e-02 
 5.79200000e-11  5.79200000e-11  1.38963346e-02 
 7.84000000e-11  7.84000000e-11  1.45466774e-02 
 1.18400000e-10  1.18400000e-10  1.63347550e-02 
 1.58400000e-10  1.58400000e-10  1.81555944e-02 
 1.98400000e-10  1.98400000e-10  1.99325684e-02 
 2.38400000e-10  2.38400000e-10  2.16902738e-02 
 2.78400000e-10  2.78400000e-10  2.34442470e-02 
 3.18400000e-10  3.18400000e-10  2.51969848e-02 
 3.58400000e-10  3.58400000e-10  2.69482688e-02 
 3.98400000e-10  3.98400000e-10  2.86979377e-02 
 4.38400000e-10  4.38400000e-10  3.04460355e-02 
 4.78400000e-10  4.78400000e-10  3.21926630e-02 
 5.18400000e-10  5.18400000e-10  3.39379178e-02 
 5.58400000e-10  5.58400000e-10  3.56818863e-02 
 5.98400000e-10  5.98400000e-10  3.74246455e-02 
 6.38400000e-10  6.38400000e-10  3.91662647e-02 
 6.78400000e-10  6.78400000e-10  4.09068064e-02 
 7.18400000e-10  7.18400000e-10  4.26463259e-02 
 7.58400000e-10  7.58400000e-10  4.43848724e-02 
 7.98400000e-10  7.98400000e-10  4.61224885e-02 
 8.38400000e-10  8.38400000e-10  4.78592113e-02 
 8.78400000e-10  8.78400000e-10  4.95950720e-02 
 9.18400000e-10  9.18400000e-10  5.13300964e-02 
 9.58400000e-10  9.58400000e-10  5.30643054e-02 
 9.98400000e-10  9.98400000e-10  5.47977147e-02 
 1.03840000e-09  1.03840000e-09  5.65303350e-02 
 1.07840000e-09  1.07840000e-09  5.82621722e-02 
 1.11840000e-09  1.11840000e-09  5.99932275e-02 
 1.15840000e-09  1.15840000e-09  6.17234966e-02 
 1.19840000e-09  1.19840000e-09  6.34529705e-02 
 1.23840000e-09  1.23840000e-09  6.51816345e-02 
 1.27840000e-09  1.27840000e-09  6.69094683e-02 
 1.31840000e-09  1.31840000e-09  6.86364454e-02 
 1.35840000e-09  1.35840000e-09  7.03625330e-02 
 1.39840000e-09  1.39840000e-09  7.20876909e-02 
 1.43840000e-09  1.43840000e-09  7.38118713e-02 
 1.47840000e-09  1.47840000e-09  7.55350179e-02 
 1.51840000e-09  1.51840000e-09  7.72570652e-02 
 1.55840000e-09  1.55840000e-09  7.89779372e-02 
 1.59840000e-09  1.59840000e-09  8.06975464e-02 
 1.63840000e-09  1.63840000e-09  8.24157923e-02 
 1.67840000e-09  1.67840000e-09  8.41325599e-02 
 1.71840000e-09  1.71840000e-09  8.58477177e-02 
 1.75840000e-09  1.75840000e-09  8.75611150e-02 
 1.79840000e-09  1.79840000e-09  8.92725796e-02 
 1.83840000e-09  1.83840000e-09  9.09819142e-02 
 1.87840000e-09  1.87840000e-09  9.26888920e-02 
 1.91840000e-09  1.91840000e-09  9.43932518e-02 
 1.95840000e-09  1.95840000e-09  9.60946912e-02 
 1.99840000e-09  1.99840000e-09  9.77928590e-02 
 2.03840000e-09  2.03840000e-09  9.94873446e-02 
 2.07840000e-09  2.07840000e-09  1.01177665e-01 
 2.11840000e-09  2.11840000e-09  1.02863246e-01 
 2.15840000e-09  2.15840000e-09  1.04543403e-01 
 2.19840000e-09  2.19840000e-09  1.06217308e-01 
 2.23840000e-09  2.23840000e-09  1.07880928e-01 
 2.27840000e-09  2.27840000e-09  1.09538165e-01 
 2.31840000e-09  2.31840000e-09  1.11185517e-01 
 2.35840000e-09  2.35840000e-09  1.12820788e-01 
 2.39840000e-09  2.39840000e-09  1.14441302e-01 
 2.43840000e-09  2.43840000e-09  1.16043674e-01 
 2.47840000e-09  2.47840000e-09  1.17623605e-01 
 2.51840000e-09  2.51840000e-09  1.19175716e-01 
 2.55840000e-09  2.55840000e-09  1.20693580e-01 
 2.59840000e-09  2.59840000e-09  1.22170361e-01 
 2.63840000e-09  2.63840000e-09  1.23601070e-01 
 2.67840000e-09  2.67840000e-09  1.24989726e-01 
 2.71840000e-09  2.71840000e-09  1.26375430e-01 
 2.75840000e-09  2.75840000e-09  1.27966380e-01 
 2.79840000e-09  2.79840000e-09  1.31646136e-01 
 2.83840000e-09  2.83840000e-09  2.48939911e-01 
 2.87840000e-09  2.87840000e-09  2.28560065e-01 
 2.91840000e-09  2.91840000e-09  1.62323955e-01 
 2.95840000e-09  2.95840000e-09  9.84062903e-02 
 2.99840000e-09  2.99840000e-09 -6.16690720e-02 
 3.03840000e-09  3.03840000e-09 -7.24025760e-02 
 3.07840000e-09  3.07840000e-09 -7.08706995e-02 
 3.11840000e-09  3.11840000e-09 -6.85566762e-02 
 3.15840000e-09  3.15840000e-09 -6.60893763e-02 
 3.19840000e-09  3.19840000e-09 -6.35997333e-02 
 3.23840000e-09  3.23840000e-09 -6.11378972e-02 
 3.27840000e-09  3.27840000e-09 -5.87258578e-02 
 3.31840000e-09  3.31840000e-09 -5.63685466e-02 
 3.35840000e-09  3.35840000e-09 -5.40635350e-02 
 3.39840000e-09  3.39840000e-09 -5.18063895e-02 
 3.43840000e-09  3.43840000e-09 -4.95925633e-02 
 3.47840000e-09  3.47840000e-09 -4.74178826e-02 
 3.51840000e-09  3.51840000e-09 -4.52786238e-02 
 3.55840000e-09  3.55840000e-09 -4.31714886e-02 
 3.59840000e-09  3.59840000e-09 -4.10935562e-02 
 3.63840000e-09  3.63840000e-09 -3.90422353e-02 
 3.67840000e-09  3.67840000e-09 -3.70152196e-02 
 3.71840000e-09  3.71840000e-09 -3.50104492e-02 
 3.75840000e-09  3.75840000e-09 -3.30260785e-02 
 3.79840000e-09  3.79840000e-09 -3.10604475e-02 
 3.83840000e-09  3.83840000e-09 -2.91120589e-02 
 3.87840000e-09  3.87840000e-09 -2.71795572e-02 
 3.91840000e-09  3.91840000e-09 -2.52617119e-02 
 3.95840000e-09  3.95840000e-09 -2.33574027e-02 
 3.99840000e-09  3.99840000e-09 -2.14656071e-02 
 4.03840000e-09  4.03840000e-09 -1.95853898e-02 
 4.07840000e-09  4.07840000e-09 -1.77158933e-02 
 4.11840000e-09  4.11840000e-09 -1.58563302e-02 
 4.15840000e-09  4.15840000e-09 -1.40059763e-02 
 4.19840000e-09  4.19840000e-09 -1.21641649e-02 
 4.23840000e-09  4.23840000e-09 -1.03302812e-02 
 4.27840000e-09  4.27840000e-09 -8.50375808e-03 
 4.31840000e-09  4.31840000e-09 -6.68407194e-03 
 4.35840000e-09  4.35840000e-09 -4.87073907e-03 
 4.39840000e-09  4.39840000e-09 -3.06331239e-03 
 4.43840000e-09  4.43840000e-09 -1.26137849e-03 
 4.47840000e-09  4.47840000e-09  5.35445042e-04 
 4.51840000e-09  4.51840000e-09  2.32751216e-03 
 4.55840000e-09  4.55840000e-09  4.11515064e-03 
 4.59840000e-09  4.59840000e-09  5.89866428e-03 
 4.63840000e-09  4.63840000e-09  7.67833484e-03 
 4.67840000e-09  4.67840000e-09  9.45442390e-03 
 4.71840000e-09  4.71840000e-09  1.12271745e-02 
 4.75840000e-09  4.75840000e-09  1.29968127e-02 
 4.79840000e-09  4.79840000e-09  1.47635488e-02 
 4.83840000e-09  4.83840000e-09  1.65275786e-02 
 4.87840000e-09  4.87840000e-09  1.82890845e-02 
 4.91840000e-09  4.91840000e-09  2.00482366e-02 
 4.95840000e-09  4.95840000e-09  2.18051931e-02 
 4.99840000e-09  4.99840000e-09  2.35601013e-02 
 5.03840000e-09  5.03840000e-09  2.53130983e-02 
 5.07840000e-09  5.07840000e-09  2.70643111e-02 
 5.11840000e-09  5.11840000e-09  2.88138577e-02 
 5.15840000e-09  5.15840000e-09  3.05618469e-02 
 5.19840000e-09  5.19840000e-09  3.23083791e-02 
 5.23840000e-09  5.23840000e-09  3.40535463e-02 
 5.27840000e-09  5.27840000e-09  3.57974325e-02 
 5.31840000e-09  5.31840000e-09  3.75401141e-02 
 5.35840000e-09  5.35840000e-09  3.92816601e-02 
 5.39840000e-09  5.39840000e-09  4.10221323e-02 
 5.43840000e-09  5.43840000e-09  4.27615859e-02 
 5.47840000e-09  5.47840000e-09  4.45000694e-02 
 5.51840000e-09  5.51840000e-09  4.62376253e-02 
 5.55840000e-09  5.55840000e-09  4.79742900e-02 
 5.59840000e-09  5.59840000e-09  4.97100945e-02 
 5.63840000e-09  5.63840000e-09  5.14450644e-02 
 5.67840000e-09  5.67840000e-09  5.31792199e-02 
 5.71840000e-09  5.71840000e-09  5.49125766e-02 
 5.75840000e-09  5.75840000e-09  5.66451449e-02 
 5.79840000e-09  5.79840000e-09  5.83769303e-02 
 5.83840000e-09  5.83840000e-09  6.01079336e-02 
 5.87840000e-09  5.87840000e-09  6.18381504e-02 
 5.91840000e-09  5.91840000e-09  6.35675711e-02 
 5.95840000e-09  5.95840000e-09  6.52961808e-02 
 5.99840000e-09  5.99840000e-09  6.70239587e-02 
 6.03840000e-09  6.03840000e-09  6.87508780e-02 
 6.07840000e-09  6.07840000e-09  7.04769052e-02 
 6.11840000e-09  6.11840000e-09  7.22019999e-02 
 6.15840000e-09  6.15840000e-09  7.39261136e-02 
 6.19840000e-09  6.19840000e-09  7.56491896e-02 
 6.23840000e-09  6.23840000e-09  7.73711615e-02 
