VDD Cap Spikes Frequency Energy_Per_Spike
0.2 3e-15 4 2E+08 1.11211E-18
0.2 4e-15 4 2E+08 1.34865E-18
0.2 5e-15 3 1.5E+08 1.44298E-18
0.2 6e-15 3 1.5E+08 1.63729E-18
0.2 7e-15 3 1.5E+08 1.84088E-18
0.2 8e-15 3 1.5E+08 1.07022E-18
0.2 9e-15 2 1E+08 1.76123E-18
0.2 10e-15 2 1E+08 1.90122E-18
0.21 0.125e-15 23 1.15E+09 3.71837E-19
0.21 0.25e-15 18 9E+08 4.37719E-19
0.21 0.5e-15 13 6.5E+08 5.31174E-19
0.21 1e-15 9 4.5E+08 6.92775E-19
0.21 2e-15 6 3E+08 9.83535E-19
0.21 3e-15 4 2E+08 1.17313E-18
0.21 4e-15 4 2E+08 1.42913E-18
0.21 5e-15 3 1.5E+08 1.52888E-18
0.21 6e-15 3 1.5E+08 1.73924E-18
0.21 7e-15 3 1.5E+08 1.96239E-18
0.21 8e-15 2 1E+08 1.71481E-18
0.21 9e-15 2 1E+08 1.86959E-18
0.21 10e-15 2 1E+08 2.02229E-18
0.22 0.125e-15 24 1.2E+09 3.99693E-19
0.22 0.25e-15 18 9E+08 4.71882E-19
0.22 0.5e-15 13 6.5E+08 5.73464E-19
0.22 1e-15 9 4.5E+08 7.45921E-19
0.22 2e-15 6 3E+08 1.04771E-18
0.22 3e-15 4 2E+08 1.2784E-18
0.22 4e-15 4 2E+08 1.5419E-18
0.22 5e-15 3 1.5E+08 1.65944E-18
0.22 6e-15 3 1.5E+08 1.88676E-18
0.22 7e-15 3 1.5E+08 1.12361E-18
0.22 8e-15 2 1E+08 1.8629E-18
0.22 9e-15 2 1E+08 2.03234E-18
0.22 10e-15 2 1E+08 2.20393E-18
0.23 0.125e-15 24 1.2E+09 4.28799E-19
0.23 0.25e-15 18 9E+08 5.16503E-19
0.23 0.5e-15 13 6.5E+08 6.36009E-19
0.23 1e-15 9 4.5E+08 7.96485E-19
0.23 2e-15 6 3E+08 1.12931E-18
0.23 3e-15 4 2E+08 1.36275E-18
0.23 4e-15 4 2E+08 1.65515E-18
0.23 5e-15 3 1.5E+08 1.78161E-18
0.23 6e-15 3 1.5E+08 2.02512E-18
0.23 7e-15 3 1.5E+08 1.20944E-18
0.23 8e-15 2 1E+08 2.0034E-18
0.23 9e-15 2 1E+08 2.16672E-18
0.23 10e-15 2 1E+08 2.36213E-18
0.24 0.125e-15 26 1.3E+09 4.30574E-19
0.24 0.25e-15 18 9E+08 5.64963E-19
0.24 0.5e-15 13 6.5E+08 7.10088E-19
0.24 1e-15 9 4.5E+08 8.88598E-19
0.24 2e-15 6 3E+08 1.22276E-18
0.24 3e-15 4 2E+08 1.46835E-18
0.24 4e-15 4 2E+08 1.23796E-18
0.24 5e-15 3 1.5E+08 1.92082E-18
0.24 6e-15 3 1.5E+08 2.18094E-18
0.24 7e-15 3 1.5E+08 1.32354E-18
0.24 8e-15 2 1E+08 2.17815E-18
0.24 9e-15 2 1E+08 2.37092E-18
0.24 10e-15 2 1E+08 2.56602E-18
0.25 0.125e-15 27 1.35E+09 4.85601E-19
0.25 0.25e-15 18 9E+08 6.28802E-19
0.25 0.5e-15 13 6.5E+08 7.56281E-19
0.25 1e-15 9 4.5E+08 9.56775E-19
0.25 2e-15 6 3E+08 1.07596E-18
0.25 3e-15 4 2E+08 1.59369E-18
0.25 4e-15 4 2E+08 1.33432E-18
0.25 5e-15 3 1.5E+08 2.07015E-18
0.25 6e-15 3 1.5E+08 2.35144E-18
0.25 7e-15 2 1E+08 2.14249E-18
0.25 8e-15 2 1E+08 2.3553E-18
0.25 9e-15 2 1E+08 2.66092E-18
0.25 10e-15 2 1E+08 2.76265E-18
0.26 0.125e-15 28 1.4E+09 5.19141E-19
0.26 0.25e-15 20 1E+09 6.67055E-19
0.26 0.5e-15 13 6.5E+08 8.32504E-19
0.26 1e-15 9 4.5E+08 9.24383E-19
0.26 2e-15 6 3E+08 1.16683E-18
0.26 3e-15 4 2E+08 1.70858E-18
0.26 4e-15 3 1.5E+08 1.94502E-18
0.26 5e-15 3 1.5E+08 2.25048E-18
0.26 6e-15 3 1.5E+08 2.54638E-18
0.26 7e-15 2 1E+08 2.35306E-18
0.26 8e-15 2 1E+08 2.57474E-18
0.26 9e-15 2 1E+08 2.92876E-18
0.26 10e-15 2 1E+08 3.01378E-18
0.27 0.125e-15 28 1.4E+09 5.22809E-19
0.27 0.25e-15 20 1E+09 7.0259E-19
0.27 0.5e-15 13 6.5E+08 9.23611E-19
0.27 1e-15 9 4.5E+08 1.03667E-18
0.27 2e-15 6 3E+08 1.2806E-18
0.27 3e-15 4 2E+08 1.89312E-18
0.27 4e-15 3 1.5E+08 2.15949E-18
0.27 5e-15 3 1.5E+08 2.48412E-18
0.27 6e-15 3 1.5E+08 2.80666E-18
0.27 7e-15 2 1E+08 2.65371E-18
0.27 8e-15 2 1E+08 2.89231E-18
0.27 9e-15 2 1E+08 3.1164E-18
0.27 10e-15 2 1E+08 3.35611E-18
0.28 0.125e-15 29 1.45E+09 5.87079E-19
0.28 0.25e-15 20 1E+09 7.30951E-19
0.28 0.5e-15 13 6.5E+08 1.01408E-18
0.28 1e-15 8 4E+08 1.26711E-18
0.28 2e-15 5 2.5E+08 1.66494E-18
0.28 3e-15 4 2E+08 2.00889E-18
0.28 4e-15 3 1.5E+08 2.30347E-18
0.28 5e-15 3 1.5E+08 2.65419E-18
0.28 6e-15 3 1.5E+08 2.95794E-18
0.28 7e-15 2 1E+08 2.82929E-18
0.28 8e-15 2 1E+08 3.07805E-18
0.28 9e-15 2 1E+08 3.31967E-18
0.28 10e-15 2 1E+08 3.57078E-18
0.29 0.125e-15 29 1.45E+09 6.19255E-19
0.29 0.25e-15 20 1E+09 7.66295E-19
0.29 0.5e-15 13 6.5E+08 1.08806E-18
0.29 1e-15 8 4E+08 1.30602E-18
0.29 2e-15 5 2.5E+08 1.69961E-18
0.29 3e-15 4 2E+08 2.08278E-18
0.29 4e-15 3 1.5E+08 2.32627E-18
0.29 5e-15 3 1.5E+08 2.7032E-18
0.29 6e-15 3 1.5E+08 3.04988E-18
0.29 7e-15 2 1E+08 2.83387E-18
0.29 8e-15 2 1E+08 3.10124E-18
0.29 9e-15 2 1E+08 3.33524E-18
0.29 10e-15 2 1E+08 3.64386E-18
0.3 0.125e-15 30 1.5E+09 6.7031E-19
0.3 0.25e-15 20 1E+09 8.0649E-19
0.3 0.5e-15 12 6E+08 1.14044E-18
0.3 1e-15 9 4.5E+08 1.21183E-18
