 time            time            v(net3)        
 4.00000000e-13  4.00000000e-13  4.70052243e-03 
 8.00000000e-13  8.00000000e-13  5.37774124e-03 
 1.60000000e-12  1.60000000e-12  6.62425880e-03 
 3.20000000e-12  3.20000000e-12  8.69469137e-03 
 6.40000000e-12  6.40000000e-12  1.17202943e-02 
 1.28000000e-11  1.28000000e-11  1.55236527e-02 
 2.56000000e-11  2.56000000e-11  1.92363104e-02 
 4.00000000e-11  4.00000000e-11  2.09810970e-02 
 4.25600000e-11  4.25600000e-11  2.10821379e-02 
 4.76800000e-11  4.76800000e-11  2.12969988e-02 
 5.79200000e-11  5.79200000e-11  2.17492550e-02 
 7.84000000e-11  7.84000000e-11  2.26628746e-02 
 1.18400000e-10  1.18400000e-10  2.44328739e-02 
 1.58400000e-10  1.58400000e-10  2.61957001e-02 
 1.98400000e-10  1.98400000e-10  2.79571870e-02 
 2.38400000e-10  2.38400000e-10  2.97177108e-02 
 2.78400000e-10  2.78400000e-10  3.14768748e-02 
 3.18400000e-10  3.18400000e-10  3.32345908e-02 
 3.58400000e-10  3.58400000e-10  3.49909343e-02 
 3.98400000e-10  3.98400000e-10  3.67459995e-02 
 4.38400000e-10  4.38400000e-10  3.84998658e-02 
 4.78400000e-10  4.78400000e-10  4.02526009e-02 
 5.18400000e-10  5.18400000e-10  4.20042644e-02 
 5.58400000e-10  5.58400000e-10  4.37549093e-02 
 5.98400000e-10  5.98400000e-10  4.55045825e-02 
 6.38400000e-10  6.38400000e-10  4.72533247e-02 
 6.78400000e-10  6.78400000e-10  4.90011712e-02 
 7.18400000e-10  7.18400000e-10  5.07481515e-02 
 7.58400000e-10  7.58400000e-10  5.24942904e-02 
 7.98400000e-10  7.98400000e-10  5.42396072e-02 
 8.38400000e-10  8.38400000e-10  5.59841167e-02 
 8.78400000e-10  8.78400000e-10  5.77278289e-02 
 9.18400000e-10  9.18400000e-10  5.94707488e-02 
 9.58400000e-10  9.58400000e-10  6.12128771e-02 
 9.98400000e-10  9.98400000e-10  6.29542090e-02 
 1.03840000e-09  1.03840000e-09  6.46947351e-02 
 1.07840000e-09  1.07840000e-09  6.64344405e-02 
 1.11840000e-09  1.11840000e-09  6.81733047e-02 
 1.15840000e-09  1.15840000e-09  6.99113011e-02 
 1.19840000e-09  1.19840000e-09  7.16483967e-02 
 1.23840000e-09  1.23840000e-09  7.33845517e-02 
 1.27840000e-09  1.27840000e-09  7.51197184e-02 
