 time            time            v(net2)        
 4.00000000e-13  4.00000000e-13  5.69263436e-03 
 8.00000000e-13  8.00000000e-13  6.34875869e-03 
 1.60000000e-12  1.60000000e-12  7.55550037e-03 
 3.20000000e-12  3.20000000e-12  9.55543940e-03 
 6.40000000e-12  6.40000000e-12  1.24637020e-02 
 1.28000000e-11  1.28000000e-11  1.61015386e-02 
 2.56000000e-11  2.56000000e-11  1.96622118e-02 
 4.00000000e-11  4.00000000e-11  2.14006776e-02 
 4.25600000e-11  4.25600000e-11  2.15167163e-02 
 4.76800000e-11  4.76800000e-11  2.17627193e-02 
 5.79200000e-11  5.79200000e-11  2.22811964e-02 
 7.84000000e-11  7.84000000e-11  2.33349120e-02 
 1.18400000e-10  1.18400000e-10  2.53843853e-02 
 1.58400000e-10  1.58400000e-10  2.74244619e-02 
 1.98400000e-10  1.98400000e-10  2.94585501e-02 
 2.38400000e-10  2.38400000e-10  3.14871268e-02 
 2.78400000e-10  2.78400000e-10  3.35101170e-02 
 3.18400000e-10  3.18400000e-10  3.55275748e-02 
 3.58400000e-10  3.58400000e-10  3.75396200e-02 
 3.98400000e-10  3.98400000e-10  3.95463672e-02 
 4.38400000e-10  4.38400000e-10  4.15479143e-02 
 4.78400000e-10  4.78400000e-10  4.35443462e-02 
 5.18400000e-10  5.18400000e-10  4.55357377e-02 
 5.58400000e-10  5.58400000e-10  4.75221538e-02 
 5.98400000e-10  5.98400000e-10  4.95036508e-02 
 6.38400000e-10  6.38400000e-10  5.14802765e-02 
 6.78400000e-10  6.78400000e-10  5.34520706e-02 
 7.18400000e-10  7.18400000e-10  5.54190654e-02 
 7.58400000e-10  7.58400000e-10  5.73812859e-02 
 7.98400000e-10  7.98400000e-10  5.93387495e-02 
 8.38400000e-10  8.38400000e-10  6.12914668e-02 
 8.78400000e-10  8.78400000e-10  6.32394411e-02 
 9.18400000e-10  9.18400000e-10  6.51826679e-02 
 9.58400000e-10  9.58400000e-10  6.71211352e-02 
 9.98400000e-10  9.98400000e-10  6.90548226e-02 
 1.03840000e-09  1.03840000e-09  7.09837010e-02 
 1.07840000e-09  1.07840000e-09  7.29077318e-02 
 1.11840000e-09  1.11840000e-09  7.48268662e-02 
 1.15840000e-09  1.15840000e-09  7.67410443e-02 
 1.19840000e-09  1.19840000e-09  7.86501938e-02 
 1.23840000e-09  1.23840000e-09  8.05542289e-02 
 1.27840000e-09  1.27840000e-09  8.24530486e-02 
 1.31840000e-09  1.31840000e-09  8.43465351e-02 
 1.35840000e-09  1.35840000e-09  8.62345514e-02 
 1.39840000e-09  1.39840000e-09  8.81169386e-02 
 1.43840000e-09  1.43840000e-09  8.99935131e-02 
 1.47840000e-09  1.47840000e-09  9.18640621e-02 
 1.51840000e-09  1.51840000e-09  9.37283397e-02 
 1.55840000e-09  1.55840000e-09  9.55860602e-02 
 1.59840000e-09  1.59840000e-09  9.74368912e-02 
 1.63840000e-09  1.63840000e-09  9.92804444e-02 
 1.67840000e-09  1.67840000e-09  1.01116263e-01 
 1.71840000e-09  1.71840000e-09  1.02943809e-01 
 1.75840000e-09  1.75840000e-09  1.04762438e-01 
 1.79840000e-09  1.79840000e-09  1.06571382e-01 
 1.83840000e-09  1.83840000e-09  1.08369707e-01 
 1.87840000e-09  1.87840000e-09  1.10153384e-01 
 1.91840000e-09  1.91840000e-09  1.11924507e-01 
 1.95840000e-09  1.95840000e-09  1.13681617e-01 
 1.99840000e-09  1.99840000e-09  1.15422245e-01 
 2.03840000e-09  2.03840000e-09  1.17143621e-01 
 2.07840000e-09  2.07840000e-09  1.18842978e-01 
 2.11840000e-09  2.11840000e-09  1.20518242e-01 
 2.15840000e-09  2.15840000e-09  1.22170031e-01 
 2.19840000e-09  2.19840000e-09  1.23806882e-01 
 2.23840000e-09  2.23840000e-09  1.25458884e-01 
 2.27840000e-09  2.27840000e-09  1.27217095e-01 
 2.31840000e-09  2.31840000e-09  1.29376684e-01 
 2.35840000e-09  2.35840000e-09  1.33209820e-01 
 2.39840000e-09  2.39840000e-09  1.54814257e-01 
 2.43840000e-09  2.43840000e-09  1.99330303e-01 
 2.47840000e-09  2.47840000e-09  2.32233805e-01 
