 time            time            v(net1)        
 4.23840000e-09  4.23840000e-09  1.72800689e-01 
 4.27840000e-09  4.27840000e-09  1.72800075e-01 
 4.31840000e-09  4.31840000e-09  1.72799417e-01 
 4.35840000e-09  4.35840000e-09  1.72798709e-01 
 4.39840000e-09  4.39840000e-09  1.72797941e-01 
 4.43840000e-09  4.43840000e-09  1.72797098e-01 
 4.47840000e-09  4.47840000e-09  1.72795935e-01 
 4.51840000e-09  4.51840000e-09  1.72794929e-01 
 4.55840000e-09  4.55840000e-09  1.72793843e-01 
 4.59840000e-09  4.59840000e-09  1.72792548e-01 
 4.63840000e-09  4.63840000e-09  1.72791017e-01 
 4.67840000e-09  4.67840000e-09  1.72789254e-01 
 4.71840000e-09  4.71840000e-09  1.72787298e-01 
 4.75840000e-09  4.75840000e-09  1.72785318e-01 
 4.79840000e-09  4.79840000e-09  1.72783827e-01 
 4.83840000e-09  4.83840000e-09  1.72784236e-01 
 4.87840000e-09  4.87840000e-09  1.72790440e-01 
 4.91840000e-09  4.91840000e-09  1.72814702e-01 
 4.95840000e-09  4.95840000e-09  1.72908643e-01 
 4.99840000e-09  4.99840000e-09  1.73536518e-01 
 5.03840000e-09  5.03840000e-09  1.76169851e-01 
 5.07840000e-09  5.07840000e-09  1.76646006e-01 
 5.11840000e-09  5.11840000e-09  1.72766528e-01 
 5.15840000e-09  5.15840000e-09  1.65340778e-01 
 5.19840000e-09  5.19840000e-09  1.65282944e-01 
 5.23840000e-09  5.23840000e-09  1.70296028e-01 
 5.27840000e-09  5.27840000e-09  1.72583915e-01 
 5.31840000e-09  5.31840000e-09  1.72999911e-01 
 5.35840000e-09  5.35840000e-09  1.72914545e-01 
 5.39840000e-09  5.39840000e-09  1.72839273e-01 
 5.43840000e-09  5.43840000e-09  1.72819302e-01 
 5.47840000e-09  5.47840000e-09  1.72818550e-01 
 5.51840000e-09  5.51840000e-09  1.72819631e-01 
 5.55840000e-09  5.55840000e-09  1.72819650e-01 
 5.59840000e-09  5.59840000e-09  1.72819139e-01 
 5.63840000e-09  5.63840000e-09  1.72818546e-01 
 5.67840000e-09  5.67840000e-09  1.72817984e-01 
 5.71840000e-09  5.71840000e-09  1.72817453e-01 
 5.75840000e-09  5.75840000e-09  1.72816943e-01 
 5.79840000e-09  5.79840000e-09  1.72816449e-01 
 5.83840000e-09  5.83840000e-09  1.72815969e-01 
 5.87840000e-09  5.87840000e-09  1.72815503e-01 
 5.91840000e-09  5.91840000e-09  1.72815048e-01 
 5.95840000e-09  5.95840000e-09  1.72814604e-01 
 5.99840000e-09  5.99840000e-09  1.72814170e-01 
 6.03840000e-09  6.03840000e-09  1.72813745e-01 
 6.07840000e-09  6.07840000e-09  1.72813328e-01 
 6.11840000e-09  6.11840000e-09  1.72812918e-01 
 6.15840000e-09  6.15840000e-09  1.72812514e-01 
 6.19840000e-09  6.19840000e-09  1.72812115e-01 
 6.23840000e-09  6.23840000e-09  1.72811722e-01 
 6.27840000e-09  6.27840000e-09  1.72811332e-01 
 6.31840000e-09  6.31840000e-09  1.72810946e-01 
 6.35840000e-09  6.35840000e-09  1.72810562e-01 
 6.39840000e-09  6.39840000e-09  1.72810181e-01 
 6.43840000e-09  6.43840000e-09  1.72809801e-01 
 6.47840000e-09  6.47840000e-09  1.72809422e-01 
 6.51840000e-09  6.51840000e-09  1.72809043e-01 
 6.55840000e-09  6.55840000e-09  1.72808665e-01 
 6.59840000e-09  6.59840000e-09  1.72808286e-01 
 6.63840000e-09  6.63840000e-09  1.72807905e-01 
 6.67840000e-09  6.67840000e-09  1.72807522e-01 
 6.71840000e-09  6.71840000e-09  1.72807136e-01 
 6.75840000e-09  6.75840000e-09  1.72806746e-01 
 6.79840000e-09  6.79840000e-09  1.72806352e-01 
 6.83840000e-09  6.83840000e-09  1.72805953e-01 
 6.87840000e-09  6.87840000e-09  1.72805546e-01 
 6.91840000e-09  6.91840000e-09  1.72805132e-01 
 6.95840000e-09  6.95840000e-09  1.72804709e-01 
 6.99840000e-09  6.99840000e-09  1.72804275e-01 
 7.03840000e-09  7.03840000e-09  1.72803829e-01 
 7.07840000e-09  7.07840000e-09  1.72803369e-01 
 7.11840000e-09  7.11840000e-09  1.72802891e-01 
 7.15840000e-09  7.15840000e-09  1.72802395e-01 
 7.19840000e-09  7.19840000e-09  1.72801877e-01 
 7.23840000e-09  7.23840000e-09  1.72801332e-01 
 7.27840000e-09  7.27840000e-09  1.72800758e-01 
 7.31840000e-09  7.31840000e-09  1.72800148e-01 
 7.35840000e-09  7.35840000e-09  1.72799496e-01 
 7.39840000e-09  7.39840000e-09  1.72798794e-01 
 7.43840000e-09  7.43840000e-09  1.72798033e-01 
 7.47840000e-09  7.47840000e-09  1.72797200e-01 
 7.51840000e-09  7.51840000e-09  1.72796052e-01 
 7.55840000e-09  7.55840000e-09  1.72795060e-01 
 7.59840000e-09  7.59840000e-09  1.72793991e-01 
 7.63840000e-09  7.63840000e-09  1.72792716e-01 
 7.67840000e-09  7.67840000e-09  1.72791208e-01 
 7.71840000e-09  7.71840000e-09  1.72789469e-01 
 7.75840000e-09  7.75840000e-09  1.72787531e-01 
 7.79840000e-09  7.79840000e-09  1.72785537e-01 
 7.83840000e-09  7.83840000e-09  1.72783943e-01 
 7.87840000e-09  7.87840000e-09  1.72784004e-01 
 7.91840000e-09  7.91840000e-09  1.72789172e-01 
 7.95840000e-09  7.95840000e-09  1.72810065e-01 
 7.99840000e-09  7.99840000e-09  1.72889380e-01 
 8.03840000e-09  8.03840000e-09  1.73355021e-01 
 8.07840000e-09  8.07840000e-09  1.75968847e-01 
 8.11840000e-09  8.11840000e-09  1.76771344e-01 
 8.15840000e-09  8.15840000e-09  1.73366191e-01 
 8.19840000e-09  8.19840000e-09  1.66047027e-01 
 8.23840000e-09  8.23840000e-09  1.64578948e-01 
 8.27840000e-09  8.27840000e-09  1.69956018e-01 
 8.31840000e-09  8.31840000e-09  1.72515009e-01 
 8.35840000e-09  8.35840000e-09  1.73007840e-01 
 8.39840000e-09  8.39840000e-09  1.72925230e-01 
 8.43840000e-09  8.43840000e-09  1.72843013e-01 
 8.47840000e-09  8.47840000e-09  1.72820057e-01 
 8.51840000e-09  8.51840000e-09  1.72818826e-01 
 8.55840000e-09  8.55840000e-09  1.72820001e-01 
 8.59840000e-09  8.59840000e-09  1.72820088e-01 
 8.63840000e-09  8.63840000e-09  1.72819582e-01 
 8.67840000e-09  8.67840000e-09  1.72818973e-01 
 8.71840000e-09  8.71840000e-09  1.72818394e-01 
 8.75840000e-09  8.75840000e-09  1.72817849e-01 
 8.79840000e-09  8.79840000e-09  1.72817326e-01 
 8.83840000e-09  8.83840000e-09  1.72816820e-01 
